"filename", "language", "HTML", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "TypeScript JSX", "YAML", "SCSS", "comment", "blank", "total"
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\MyCart\GuesCartItems.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 4, 121
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\MyCart\UserCart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 3, 120
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Navbar\CartSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 5, 64
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Navbar\MainNavbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 154, 0, 0, 2, 8, 164
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Navbar\Navbar.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Navbar\NavbarPopover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 5, 115
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Navbar\SearchSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 228, 0, 0, 0, 8, 236
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Navbar\UserSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 8, 106
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\ProductDetails\details.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\ProductDetails\productView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 512, 0, 0, 4, 17, 533
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Protein\Protein.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 5, 106
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\UseBlaze\SliderComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 5, 97
